valuation_date,expiry,maturity,spot,rate,dividend,strike,call_mid
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,288.000000,39.0500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,289.000000,38.3200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,290.000000,37.5800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,291.000000,36.8500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,292.000000,36.1200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,293.000000,35.4000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,294.000000,34.6800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,295.000000,33.9700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,296.000000,33.2500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,297.000000,32.5600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,298.000000,31.8500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,299.000000,31.1600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,300.000000,30.4700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,301.000000,29.7800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,302.000000,29.0800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,303.000000,28.3400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,304.000000,27.7400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,305.000000,27.0800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,306.000000,26.4200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,307.000000,25.7600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,308.000000,25.1100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,309.000000,24.4600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,310.000000,23.8100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,311.000000,23.1900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,312.000000,22.5600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,313.000000,21.9300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,314.000000,21.3100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,315.000000,20.7000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,316.000000,20.0900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,317.000000,19.4900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,318.000000,18.8900000000
